Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,EmailAddress,TelephoneNumber,Birthday,CCType,DollarsSpent,WebVisits
1982,male,Jimmy,M,Napier,670 Rogers Street,Cincinnati,OH,45214,US,Jimmy.M.Napier@gmail.com,513-560-0912,8/21/1966,MasterCard,359.75,6
1983,male,Richard,B,Broadhead,3714 Joes Road,Albany,NY,12207,US,Richard.B.Broadhead@yahoo.com,518-694-6611,5/7/1944,MasterCard,63.49,8
1984,male,Mike,L,Baker,3465 Johnstown Road,Chicago,IL,60606,US,Mike.L.Baker@outlook.com,847-377-6853,4/7/1970,Visa,203.58,9
1985,male,Alvaro,E,Ernst,1553 Flynn Street,Amherst,OH,44001,US,Alvaro.E.Ernst@yahoo.com,440-985-5476,12/26/1945,Visa,572.57,10
1986,female,Kirsten,W,Zepeda,4381 Ridenour Street,Miami,FL,33143,US,Kirsten.W.Zepeda@outlook.com,786-308-8688,11/16/1949,MasterCard,481.86,15
1987,female,Jewell,M,Hutsell,3075 Hickman Street,Chicago,IL,60606,US,Jewell.M.Hutsell@outlook.com,630-413-5939,11/26/1945,MasterCard,650.1,25
1988,male,Brian,N,Reynolds,987 Wexford Way,Lexington,SC,29072,US,Brian.N.Reynolds@gmail.com,803-358-8608,12/28/1985,MasterCard,153.67,6
1989,female,Frances,R,Bernier,3899 Neuport Lane,Cartersville,GA,30120,US,Frances.R.Bernier@yahoo.com,770-382-2558,11/7/1980,MasterCard,831.85,11
1990,female,Shelley,M,Law,4372 Brownton Road,MARKS,MS,38646,US,Shelley.M.Law@outlook.com,662-326-9981,1/4/1959,MasterCard,782.57,28
1991,male,Van,L,Freeman,3552 Clay Street,Indianapolis,IN,46219,US,Van.L.Freeman@outlook.com,317-354-0856,12/19/1949,MasterCard,931.83,14
1992,female,Cynthia,P,Reilly,4584 Woodland Avenue,PARADIS,LA,70080,US,Cynthia.P.Reilly@gmail.com,985-758-3145,6/24/1959,MasterCard,738.24,12
1993,male,Roy,M,Reynolds,3141 Frum Street,Nashville,TN,37214,US,Roy.M.Reynolds@yahoo.com,615-314-5470,8/4/1973,Visa,278.94,9
1994,male,Avery,G,Mosher,3418 Heather Sees Way,Tahlequah,OK,74464,US,Avery.G.Mosher@gmail.com,918-708-0098,2/29/1980,MasterCard,699.42,7
1995,male,Edward,M,Galvan,3705 Tail Ends Road,Green Bay,WI,54303,US,Edward.M.Galvan@gmail.com,920-599-9958,2/13/1985,Visa,222.86,8
1996,male,Justin,J,Alvarado,4632 Stuart Street,Pittsburgh,PA,15222,US,Justin.J.Alvarado@outlook.com,724-391-4775,3/16/1954,MasterCard,25.63,29
1997,female,Valeria,M,Nick,2305 Cottonwood Lane,Grand Rapids,MI,49505,US,Valeria.M.Nick@gmail.com,616-359-7925,11/8/1968,Visa,302.15,3
1998,male,Manuel,S,Lumsden,3602 Martha Ellen Drive,Reno,NV,89501,US,Manuel.S.Lumsden@gmail.com,775-686-6646,5/26/1982,MasterCard,952.87,27
1999,male,Teddy,Y,Cho,96 Lakewood Drive,NEWARK,NJ,7102,US,Teddy.Y.Cho@gmail.com,201-799-3501,10/2/1967,Visa,6.84,1
2000,female,Sarah,D,Maldonado,266 Barnes Street,Orlando,FL,32810,US,Sarah.D.Maldonado@yahoo.com,407-241-8990,9/4/1946,Visa,921.58,7
2001,male,Stephen,C,Bloom,3691 Nelm Street,Leesburg,VA,20176,US,Stephen.C.Bloom@gmail.com,571-333-7240,5/21/1950,MasterCard,734.55,2
2002,female,Janette,M,Kimbrell,1492 Warner Street,Miami,FL,33128,US,Janette.M.Kimbrell@outlook.com,305-990-2870,5/27/1983,Visa,625.75,30
2003,female,Meredith,M,Tadlock,3521 Kimberly Way,Grand Rapids,MI,49546,US,Meredith.M.Tadlock@outlook.com,616-970-1768,6/30/1970,Visa,418.58,16
2004,male,Virgil,G,Dalton,3166 Retreat Avenue,BANGOR,ME,4401,US,Virgil.G.Dalton@gmail.com,207-323-5568,7/27/1945,MasterCard,445.49,27
2005,male,Randy,C,Davis,728 Drummond Street,PISCATAWAY,NJ,8854,US,Randy.C.Davis@gmail.com,973-307-2566,2/17/1968,MasterCard,185.49,12
2006,female,Caroline,M,Delgado,1014 Lincoln Drive,Chambersburg,PA,17201,US,Caroline.M.Delgado@gmail.com,717-634-0350,1/15/1981,MasterCard,301.57,20
2007,male,Dale,Y,Wike,760 Upland Avenue,MOLINE,OH,43463,US,Dale.Y.Wike@outlook.com,419-838-8929,11/10/1954,MasterCard,634.7,23
2008,male,Raul,S,Lowe,2775 Wyatt Street,WEST PALM BEACH,FL,33409,US,Raul.S.Lowe@gmail.com,561-548-9079,8/19/1941,Visa,549.72,15
2009,female,Tracey,A,Schultz,2275 New York Avenue,ANAHEIM,CA,92801,US,Tracey.A.Schultz@gmail.com,818-232-7432,4/20/1973,Visa,898.88,24
2010,female,Ann,M,Edwards,846 Neuport Lane,Marietta,GA,30064,US,Ann.M.Edwards@gmail.com,770-427-6667,10/18/1982,Visa,804.6,10
2011,male,Jesus,K,Park,3961 Briarwood Drive,LAUREL FallS,NJ,8021,US,Jesus.K.Park@yahoo.com,856-539-0677,4/1/1947,MasterCard,113.28,26
2012,female,Kathleen,R,Woods,3289 Haymond Rocks Road,SCOTTSBURG,OR,97473,US,Kathleen.R.Woods@outlook.com,541-587-1376,2/14/1983,Visa,361.36,26
2013,female,Ann,J,Patton,1864 Fittro Street,Harrison,AR,72601,US,Ann.J.Patton@gmail.com,870-350-9784,4/2/1959,MasterCard,293.64,23
2014,male,Henry,G,Rice,1265 Pretty View Lane,Arcata,CA,95521,US,Henry.G.Rice@gmail.com,707-825-6850,9/20/1963,MasterCard,816.3,18
2015,female,Shannon,J,Reyes,4520 Lightning Point Drive,Memphis,TN,38110,US,Shannon.J.Reyes@gmail.com,901-528-1584,8/24/1980,MasterCard,562.54,14
2016,female,Lindsey,T,Puckett,464 Straford Park,WALLINS CREEK,KY,40873,US,Lindsey.T.Puckett@gmail.com,606-664-0091,5/8/1970,Visa,108.74,9
2017,male,Ricardo,L,Ruiz,4733 Millbrook Road,Chicago,IL,60607,US,Ricardo.L.Ruiz@gmail.com,630-743-7533,6/26/1955,MasterCard,815.48,27
2018,female,Delia,W,Williams,2912 Fittro Street,CROSSETT,AR,71635,US,Delia.W.Williams@gmail.com,870-304-2283,8/25/1960,Visa,981.28,2
2019,male,Alvin,E,Foster,4434 Irish Lane,La Crosse,WI,54601,US,Alvin.E.Foster@yahoo.com,608-787-9507,8/7/1953,MasterCard,511.39,22
2020,female,Hee,J,Duvall,164 Maryland Avenue,PINELLAS,FL,34624,US,Hee.J.Duvall@gmail.com,727-524-9891,6/23/1985,MasterCard,47.65,1
2021,male,Matthew,K,Seth,156 Boggess Street,FIVE POINTS (WARREN),OH,45066,US,Matthew.K.Seth@outlook.com,937-886-4953,7/12/1985,Visa,812.93,18
2022,male,Jason,E,Dunham,125 Stratford Court,Raleigh,NC,27612,US,Jason.E.Dunham@gmail.com,919-781-1499,6/7/1968,MasterCard,218.45,23
2023,female,Ester,J,Brehmer,3497 Thompson Street,Pomona,CA,91766,US,Ester.J.Brehmer@outlook.com,562-666-0966,7/4/1941,MasterCard,443.53,8
2024,female,Lindsay,B,Thompson,3373 Hickory Heights Drive,Hanover,MD,21076,US,Lindsay.B.Thompson@gmail.com,443-878-0767,1/23/1983,Visa,173.94,28
2025,male,Mark,R,Prevost,1894 East Avenue,Tempe,AZ,85282,US,Mark.R.Prevost@gmail.com,480-277-7638,5/6/1970,Visa,663.1,13
2026,male,Donald,L,Burkholder,24 Owen Lane,Fort Myers,FL,33901,US,Donald.L.Burkholder@gmail.com,239-202-2248,7/31/1975,MasterCard,347,5
2027,female,Norma,T,Snodgrass,1701 Godfrey Street,Beaverton,OR,97005,US,Norma.T.Snodgrass@yahoo.com,503-605-7127,10/23/1975,Visa,133.2,16
2028,male,Edward,L,Bullington,3716 Clement Street,Atlanta,GA,30329,US,Edward.L.Bullington@outlook.com,404-471-4034,2/1/1966,MasterCard,640.52,21
2029,male,Carl,J,Tarry,2011 Bee Street,Grand Rapids,MI,49503,US,Carl.J.Tarry@gmail.com,231-806-3985,4/28/1966,MasterCard,389.8,1
2030,male,John,K,Scholz,3982 Sycamore Fork Road,Ft Lauderdale,FL,33311,US,John.K.Scholz@gmail.com,954-261-4025,2/14/1946,MasterCard,479.77,9
2031,male,James,S,Portillo,2188 Villa Drive,South Bend,IN,46601,US,James.S.Portillo@outlook.com,574-520-1661,7/21/1954,MasterCard,722.85,19
2032,male,Donald,A,Villeneuve,4467 Ashton Lane,LAMPASAS,TX,76550,US,Donald.A.Villeneuve@yahoo.com,512-566-2651,11/24/1963,Visa,337.75,28
2033,female,Sammie,D,Ruiz,3712 Rockwell Lane,Greenville,NC,27834,US,Sammie.D.Ruiz@gmail.com,252-575-3028,6/9/1983,Visa,91.91,17
2034,male,Dan,K,Davis,4736 Hickman Street,Burr Ridge,IL,60527,US,Dan.K.Davis@gmail.com,630-498-8115,6/15/1947,Visa,231.1,2
2035,female,Juanita,B,Lohr,2441 Hickory Street,West Valley City,UT,84120,US,Juanita.B.Lohr@gmail.com,801-695-2258,10/28/1967,Visa,671.64,19
2036,female,Kathleen,D,Miller,522 Taylor Street,Mamaroneck,NY,10543,US,Kathleen.D.Miller@yahoo.com,914-698-5489,6/30/1963,Visa,523.95,2
2037,male,Darrin,J,Harmon,516 School Street,Washington,DC,20005,US,Darrin.J.Harmon@outlook.com,202-879-6827,9/9/1957,MasterCard,470.48,2
2038,male,John,N,Ingersoll,4578 Vine Street,Wood Dale,IL,60191,US,John.N.Ingersoll@gmail.com,847-585-9546,12/19/1962,Visa,468.39,20
2039,female,Belle,G,Davis,216 Dogwood Lane,Tucson,AZ,85711,US,Belle.G.Davis@gmail.com,520-571-2126,8/17/1977,Visa,722.52,6
2040,female,Dolores,L,Roth,2157 Willow Oaks Lane,Lake Charles,LA,70601,US,Dolores.L.Roth@outlook.com,337-387-5671,9/2/1970,MasterCard,944.5,5
2041,male,Carl,E,Taylor,1977 Gateway Road,Portland,OR,97232,US,Carl.E.Taylor@gmail.com,503-237-7766,1/19/1963,MasterCard,559.24,20
2042,female,Barbara,A,Russell,2281 Friendship Lane,Santa Clara,CA,95054,US,Barbara.A.Russell@yahoo.com,408-666-4624,5/30/1940,MasterCard,257.77,23
2043,male,John,S,Mendoza,417 Prudence Street,Southfield,MI,48075,US,John.S.Mendoza@gmail.com,313-376-6024,8/7/1983,MasterCard,153.82,13
2044,male,Oliver,M,Terry,1374 Dogwood Lane,Tucson,AZ,85749,US,Oliver.M.Terry@outlook.com,520-749-8390,5/27/1985,Visa,295.16,22
2045,female,Kay,A,Marlatt,3010 Browning Lane,Walton,NY,13856,US,Kay.A.Marlatt@gmail.com,607-865-6503,7/2/1974,Visa,132.59,29
2046,male,Francisco,S,Moore,2702 Florence Street,Dallas,TX,75234,US,Francisco.S.Moore@gmail.com,903-423-9198,9/9/1960,Visa,310.97,18
2047,male,Ryan,M,Lowery,2423 Village View Drive,Fort Myers,FL,33901,US,Ryan.M.Lowery@gmail.com,239-824-2370,3/22/1972,MasterCard,415.51,8
2048,male,William,E,Okelley,2112 Drummond Street,Lyndhurst,NJ,7071,US,William.E.Okelley@gmail.com,973-289-8943,6/10/1946,Visa,428.46,12
2049,female,Bobbie,J,Webb,887 High Meadow Lane,LAKEWOOD,PA,18214,US,Bobbie.J.Webb@gmail.com,570-467-0390,12/13/1960,MasterCard,294.43,10
2050,female,Linda,A,Reed,3130 Alexander Drive,BENJAMIN,TX,79505,US,Linda.A.Reed@yahoo.com,940-454-8534,3/17/1975,MasterCard,255.16,9
2051,female,Tracey,M,Lamberton,4928 Meadow View Drive,EAST HARTFORD,CT,6108,US,Tracey.M.Lamberton@gmail.com,860-528-1096,7/1/1949,Visa,538.71,14
2052,male,Chester,L,Lynch,4187 Karen Lane,Louisville,KY,40205,US,Chester.L.Lynch@gmail.com,502-874-8716,9/5/1978,Visa,563.12,11
2053,female,Taylor,C,Jackson,2359 Rodney Street,Maryland Heights,MO,63043,US,Taylor.C.Jackson@gmail.com,636-400-8745,4/24/1952,Visa,921.65,2
2054,male,James,B,Boles,4737 Limer Street,TUNNEL HILL,GA,30755,US,James.B.Boles@yahoo.com,706-516-8741,10/19/1984,MasterCard,552.15,24
2055,male,George,L,Baker,1471 Saint Marys Avenue,CANTON,NY,13617,US,George.L.Baker@gmail.com,315-844-9887,1/11/1954,MasterCard,813.3,5
2056,male,Edward,S,Flores,971 Goodwin Avenue,Spokane Valley,WA,99206,US,Edward.S.Flores@outlook.com,509-439-1238,7/5/1943,MasterCard,385.29,2
2057,male,Lance,H,Jean,4065 Stoney Lane,Dallas,TX,75202,US,Lance.H.Jean@yahoo.com,972-944-9627,10/25/1957,Visa,842.11,8
2058,female,Sandra,J,Davenport,1803 Camden Street,Reno,NV,89501,US,Sandra.J.Davenport@outlook.com,775-309-2421,10/26/1953,MasterCard,783.89,10
2059,male,Michael,H,Blohm,2057 Platinum Drive,BRUIN,PA,16022,US,Michael.H.Blohm@outlook.com,724-753-0915,8/5/1943,Visa,506.96,11
2060,male,Ronnie,I,Wortham,4133 Woodhill Avenue,Towson,MD,21204,US,Ronnie.I.Wortham@yahoo.com,410-823-4220,12/19/1973,Visa,579.66,13
2061,female,Tania,M,Gould,136 Hall Place,PINE ACRES,TX,75644,US,Tania.M.Gould@outlook.com,903-790-0376,9/7/1965,Visa,561.34,26
2062,female,Robin,M,Roepke,891 North Avenue,Lincoln,NE,68522,US,Robin.M.Roepke@gmail.com,402-745-5027,4/27/1980,Visa,496.29,12
2063,female,Judy,R,Dyer,402 Marshall Street,Cockeysville,MD,21030,US,Judy.R.Dyer@gmail.com,410-628-4304,2/22/1973,Visa,776.56,21
2064,female,Pamela,J,Doucette,3228 Green Hill Road,SULPHUR FallS,AR,72768,US,Pamela.J.Doucette@outlook.com,479-298-7136,8/12/1957,MasterCard,611.38,28
2065,female,Jimmie,G,Tate,1222 Melm Street,PROVIDENCE,RI,2908,US,Jimmie.G.Tate@yahoo.com,401-239-6347,6/27/1977,MasterCard,675.25,2
2066,male,Gabriel,H,Nyquist,320 Joseph Street,Milwaukee,WI,53202,US,Gabriel.H.Nyquist@outlook.com,262-753-6609,4/27/1966,Visa,684.25,1
2067,male,Paul,B,Watt,2637 Vine Street,BURR RIDGE,IL,61257,US,Paul.B.Watt@gmail.com,847-601-2304,5/8/1974,Visa,530.15,14
2068,female,Angela,C,Sessions,1295 Jerome Avenue,Mcallen,TX,78501,US,Angela.C.Sessions@gmail.com,956-216-7411,7/11/1943,Visa,755.2,6
2069,male,Juan,K,Roberts,2286 Hide A Way Road,SAN JOSE,CA,95136,US,Juan.K.Roberts@gmail.com,408-229-5690,6/13/1950,Visa,321.11,5
2070,male,Daniel,P,Morris,893 Wyatt Street,Fort Lauderdale,FL,33301,US,Daniel.P.Morris@gmail.com,561-549-1897,10/31/1959,MasterCard,676.67,19
2071,female,Marian,M,Horton,4665 Carter Street,Carbondale,IL,62901,US,Marian.M.Horton@gmail.com,618-771-3698,3/1/1969,Visa,366.55,8
2072,female,Carol,L,Clark,2633 Collins Street,Tampa,FL,33619,US,Carol.L.Clark@outlook.com,813-957-5643,2/13/1971,Visa,731.71,19
2073,female,Rosemarie,T,Groth,1343 Paul Wayne Haggerty Road,New Orleans,LA,70119,US,Rosemarie.T.Groth@outlook.com,504-483-8272,3/28/1976,Visa,979.63,1
2074,female,Rita,F,Loveless,2217 Jones Street,Grapevine,TX,76051,US,Rita.F.Loveless@yahoo.com,817-481-2545,2/7/1968,MasterCard,689.31,19
2075,female,Brenda,J,Well,3729 Straford Park,WHITESBURG,KY,41858,US,Brenda.J.Well@yahoo.com,606-633-8380,1/6/1980,MasterCard,354.15,12
2076,female,Deborah,G,Dowell,3421 Forest Drive,Falls Church,VA,22044,US,Deborah.G.Dowell@yahoo.com,703-930-2329,5/8/1974,MasterCard,817.91,8
2077,male,Roger,H,Melton,2055 Pursglove Court,Dayton,OH,45402,US,Roger.H.Melton@gmail.com,937-257-4156,9/12/1966,MasterCard,121.62,22
2078,female,Edna,J,Pittman,2797 Spirit Drive,Daytona Beach,FL,32114,US,Edna.J.Pittman@gmail.com,386-627-9598,4/10/1960,Visa,690.8,9
2079,female,Alice,J,Jimenez,622 Harper Street,Bowling Green,KY,42101,US,Alice.J.Jimenez@yahoo.com,270-529-4382,10/30/1963,Visa,551.8,17
2080,female,Viola,D,Echevarria,4728 Beechwood Avenue,JERSEY CITY,NJ,7305,US,Viola.D.Echevarria@yahoo.com,908-864-2405,5/13/1985,Visa,536.89,2
2081,male,Nicholas,K,Hoover,4301 Comfort Court,Madison,WI,53703,US,Nicholas.K.Hoover@gmail.com,608-284-0905,8/8/1980,MasterCard,431.17,24
2082,male,Todd,L,Cano,4338 Calico Drive,Yakima,WA,98908,US,Todd.L.Cano@yahoo.com,509-594-7457,7/11/1985,Visa,304.22,18
2083,female,Gail,T,Nelson,3756 Terra Street,Seattle,WA,98161,US,Gail.T.Nelson@outlook.com,360-343-1887,9/5/1940,MasterCard,696.33,19
2084,female,Jessica,E,Arent,4786 Kessla Way,MCBEE,SC,29727,US,Jessica.E.Arent@outlook.com,843-335-3628,11/1/1954,MasterCard,460.42,13
2085,male,Jonathan,M,Richardson,3888 Cedarstone Drive,Tiffin,OH,44883,US,Jonathan.M.Richardson@yahoo.com,419-455-2993,7/1/1953,MasterCard,536.13,25
2086,female,Connie,K,Wade,2060 Parker Drive,Maple Heights,OH,44137,US,Connie.K.Wade@outlook.com,216-663-6524,6/16/1959,Visa,415.54,6
2087,male,Jimmie,D,Bunting,2345 Crummit Lane,Omaha,NE,68137,US,Jimmie.D.Bunting@gmail.com,402-216-1233,1/12/1957,Visa,52.7,23
2088,male,John,V,Doris,1444 Circle Drive,Houston,TX,77032,US,John.V.Doris@gmail.com,832-496-0584,5/8/1985,MasterCard,399.97,13
2089,male,Patrick,C,Bowen,3524 Duff Avenue,Burlington,VT,5401,US,Patrick.C.Bowen@outlook.com,802-498-7038,7/15/1945,MasterCard,890.34,6
2090,female,Vivian,R,Duhon,4635 Henry Ford Avenue,Tulsa,OK,74120,US,Vivian.R.Duhon@gmail.com,918-208-8106,6/16/1953,Visa,568.69,9
2091,male,Timothy,R,Cervantes,1489 Maple Avenue,Jackson,CA,95642,US,Timothy.R.Cervantes@gmail.com,209-223-0880,7/6/1966,Visa,103.98,23
2092,female,Fannie,B,Bowling,2144 Poplar Street,Chicago,IL,60605,US,Fannie.B.Bowling@gmail.com,708-714-2211,2/26/1972,MasterCard,691.89,10
2093,male,George,J,Vasquez,1280 Hart Country Lane,RUTLEDGE,GA,30663,US,George.J.Vasquez@gmail.com,706-557-9061,2/22/1972,Visa,741.23,7
2094,male,Jack,J,Baker,725 Waterview Lane,Albuquerque,NM,87102,US,Jack.J.Baker@outlook.com,505-529-4084,11/17/1976,Visa,7.52,24
2095,male,Paul,L,Fouts,1255 Wexford Way,Columbia,SC,29201,US,Paul.L.Fouts@gmail.com,803-303-7447,10/11/1950,Visa,745.6,10
2096,male,Freeman,H,Trembley,1747 Westwood Avenue,Wantagh,NY,11793,US,Freeman.H.Trembley@outlook.com,516-783-7517,10/15/1962,Visa,47.85,21
2097,male,Elvin,M,Raymond,886 Patton Lane,KNIGHT DALE,NC,27545,US,Elvin.M.Raymond@yahoo.com,919-217-8464,8/14/1959,MasterCard,716.1,6
2098,female,Mary,J,Chon,3495 Camel Back Road,Tulsa,OK,74120,US,Mary.J.Chon@gmail.com,918-573-5238,4/18/1976,MasterCard,610.32,7
2099,female,Maryann,R,Hutchinson,1095 Stratford Drive,Waipahu,HI,96797,US,Maryann.R.Hutchinson@gmail.com,808-343-0894,7/25/1960,MasterCard,124.15,2
2100,male,Donald,P,Green,1509 Jerome Avenue,Edinburg,TX,78539,US,Donald.P.Green@yahoo.com,956-316-0801,3/19/1978,MasterCard,630.3,16
2101,male,Michael,M,Mcintyre,4450 Watson Lane,San Antonio,TX,78205,US,Michael.M.Mcintyre@gmail.com,830-204-0562,1/14/1951,Visa,129.98,11
2102,male,Billy,K,Garner,3037 Liberty Avenue,Irvine,CA,92614,US,Billy.K.Garner@gmail.com,714-464-8849,8/31/1959,MasterCard,907.2,5
2103,female,Sarah,M,Powell,549 Liberty Street,Plano,TX,75074,US,Sarah.M.Powell@yahoo.com,214-885-6031,6/15/1980,Visa,586.36,20
2104,female,Lisa,R,Lindstrom,1148 Glory Road,Mc Minnville,TN,37110,US,Lisa.R.Lindstrom@gmail.com,931-787-3426,6/8/1981,MasterCard,85.1,3
2105,female,Allison,A,Rusnak,801 Kimberly Way,Grand Rapids,MI,49546,US,Allison.A.Rusnak@gmail.com,616-955-7306,7/20/1972,Visa,105.82,28
2106,female,Diane,L,Berry,1244 Locust View Drive,Oakland,CA,94612,US,Diane.L.Berry@gmail.com,415-888-9358,7/2/1979,MasterCard,817.76,17
2107,female,Agnes,G,Jackson,846 Sunny Day Drive,Westminster,CA,92683,US,Agnes.G.Jackson@yahoo.com,714-799-4637,5/23/1964,Visa,968.76,11
2108,female,Mary,J,Sweeney,3455 Hall Street,Las Vegas,NV,89121,US,Mary.J.Sweeney@outlook.com,702-456-3831,4/1/1976,MasterCard,551.32,18
2109,male,Gary,K,Moua,1974 Timbercrest Road,MINCHUMINA,AK,99757,US,Gary.K.Moua@outlook.com,907-674-2375,11/20/1973,MasterCard,645.62,7
2110,female,Catherine,J,Rhoden,3631 Hickman Street,Elgin,IL,60120,US,Catherine.J.Rhoden@gmail.com,630-497-9736,2/4/1971,Visa,589.7,8
2111,female,Kathleen,L,Lawrence,3587 Rafe Lane,Batesville,MS,38606,US,Kathleen.L.Lawrence@gmail.com,662-712-9017,10/23/1971,MasterCard,392.5,2
2112,male,Daniel,A,Barrett,370 Mount Tabor,ARMONK VILLAGE,NY,10504,US,Daniel.A.Barrett@gmail.com,914-499-1087,5/8/1984,Visa,993.71,29
2113,male,Rufus,H,Jones,1926 Buena Vista Avenue,ADRIAN,OR,97901,US,Rufus.H.Jones@yahoo.com,541-724-6624,4/19/1947,Visa,350.24,8
2114,female,Corinne,W,Starks,1117 Vineyard Drive,Cleveland,OH,44114,US,Corinne.W.Starks@yahoo.com,440-334-0525,5/16/1953,Visa,972.42,20
2115,female,Tara,C,Mccain,603 Five Points,SALISBURY,MD,21875,US,Tara.C.Mccain@gmail.com,443-232-4315,10/2/1948,Visa,371.69,10
2116,female,Berta,N,Perez,2023 Woodland Avenue,NEW ORLEANS,LA,70171,US,Berta.N.Perez@yahoo.com,985-625-4844,2/14/1979,MasterCard,228.64,27
2117,male,Ron,N,Tejeda,1819 Kelley Road,Gulfport,MS,39507,US,Ron.N.Tejeda@gmail.com,228-395-3126,10/4/1976,MasterCard,635.59,19
2118,male,Mark,P,Curtis,2492 John Daniel Drive,Charleston,MO,63834,US,Mark.P.Curtis@outlook.com,573-683-2226,5/13/1949,MasterCard,760.44,1
2119,female,Elizabeth,R,Armstrong,3693 Saint Marys Avenue,Geneva,NY,14456,US,Elizabeth.R.Armstrong@gmail.com,315-787-3737,12/12/1969,Visa,596.89,11
2120,female,Elizabeth,E,Mandell,288 Sugar Camp Road,Saint James,MN,56081,US,Elizabeth.E.Mandell@outlook.com,507-621-0624,9/30/1979,MasterCard,837.6,21
2121,female,Bertha,D,Raines,3139 Linda Street,WEST BRUNSWICK TWP,PA,19549,US,Bertha.D.Raines@gmail.com,267-739-3725,12/28/1958,Visa,413.9,16
2122,female,Mae,B,James,3840 Haymond Rocks Road,MCDERMITT,OR,89421,US,Mae.B.James@gmail.com,541-522-0015,11/3/1963,Visa,344.37,11
2123,male,Carl,J,Thompson,4792 Skips Lane,Show Low,AZ,85901,US,Carl.J.Thompson@gmail.com,928-537-1171,7/20/1983,Visa,912.17,19
2124,female,Beatrice,R,Wilson,2368 Hidden Pond Road,Nashville,TN,37211,US,Beatrice.R.Wilson@outlook.com,615-668-3763,10/21/1943,Visa,11.82,19
2125,male,Kenneth,L,Tucker,4274 Farland Avenue,San Antonio,TX,78218,US,Kenneth.L.Tucker@gmail.com,830-483-8188,1/10/1972,MasterCard,656.27,21
2126,male,Darrell,D,Good,1892 Maple Street,Anaheim,CA,92801,US,Darrell.D.Good@yahoo.com,714-326-7888,5/21/1954,Visa,929.69,6
2127,male,Coy,K,Hewitt,2649 Bobcat Drive,Washington,MD,20005,US,Coy.K.Hewitt@outlook.com,240-812-1594,9/21/1972,Visa,355.6,10
2128,female,Janine,S,Jones,1908 Dark Hollow Road,Camden,NJ,8102,US,Janine.S.Jones@outlook.com,609-228-0158,2/7/1974,Visa,595.17,4
2129,male,Joseph,K,Jelks,1712 B Street,Minneapolis,MN,55415,US,Joseph.K.Jelks@gmail.com,651-503-8491,11/30/1972,Visa,434.89,25
2130,male,Terry,E,Smith,3986 Indiana Avenue,Wahiawa,HI,96786,US,Terry.E.Smith@gmail.com,808-655-4762,7/10/1969,MasterCard,450.96,21
2131,female,Mildred,L,Sharp,4979 Rosebud Avenue,BERRYVILLE,AR,72616,US,Mildred.L.Sharp@gmail.com,870-480-7516,10/21/1978,MasterCard,955.95,24
2132,male,Marc,J,Wright,1852 Berkley Street,Portland,PA,97205,US,Marc.J.Wright@outlook.com,484-920-9117,6/9/1968,Visa,638.62,3
2133,female,Joan,B,Dashner,2953 Geneva Street,Huntington,NY,11743,US,Joan.B.Dashner@outlook.com,917-435-8152,3/27/1975,Visa,747.66,10
2134,male,William,B,Johnson,4545 Stratford Court,Raleigh,NC,27604,US,William.B.Johnson@yahoo.com,919-792-8144,2/13/1946,Visa,647.37,4
2135,male,Charles,R,Bradley,4115 Davis Avenue,Petaluma,CA,94952,US,Charles.R.Bradley@outlook.com,707-763-9972,4/3/1952,Visa,185.9,22
2136,female,Georgia,D,Hilton,2576 Cost Avenue,POOLESVILLE,MD,20837,US,Georgia.D.Hilton@gmail.com,301-407-2159,1/31/1942,Visa,472.12,20
2137,male,Alton,M,White,790 Shearwood Forest Drive,NASHUA,NH,3061,US,Alton.M.White@gmail.com,603-281-9522,2/16/1953,Visa,887.6,4
2138,female,Angelica,C,Oneal,4021 Rafe Lane,TUPELO,MS,38801,US,Angelica.C.Oneal@yahoo.com,662-693-7098,10/21/1964,MasterCard,580.82,8
2139,male,Jim,S,Huber,3983 Fantages Way,NORWAY,ME,4268,US,Jim.S.Huber@yahoo.com,207-744-5066,8/8/1959,Visa,259.13,15
2140,male,Gerald,B,Jones,244 Still Street,WESTON,OH,43569,US,Gerald.B.Jones@gmail.com,419-669-5370,2/8/1981,Visa,81.5,17
2141,male,Craig,M,Rodriguez,3446 Farland Street,Taunton,MA,2780,US,Craig.M.Rodriguez@gmail.com,774-218-3861,12/14/1969,MasterCard,296.47,5
2142,female,Carolyn,R,Mcgee,4321 Hart Country Lane,West Point,GA,31833,US,Carolyn.R.Mcgee@outlook.com,706-590-2808,4/13/1945,Visa,567.78,6
2143,female,Milagros,J,Roberts,3617 Stone Lane,PHILADELPHIA,PA,19108,US,Milagros.J.Roberts@gmail.com,610-410-8822,6/17/1981,MasterCard,164.8,22
2144,female,Kathleen,W,May,3962 Bond Street,NEWPORT,RI,2840,US,Kathleen.W.May@outlook.com,401-851-6420,3/4/1954,Visa,586.4,16
2145,female,Carol,J,Johns,2637 Oakridge Farm Lane,Waukesha,WI,53186,US,Carol.J.Johns@outlook.com,262-319-1490,3/20/1971,MasterCard,136.81,23
2146,female,Aleisha,K,Scull,3262 Layman Avenue,Savannah,GA,31405,US,Aleisha.K.Scull@gmail.com,912-209-0267,9/19/1975,Visa,11.44,5
